City_ID,City,Lat,Lng,Current Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Longyearbyen,78.2186,15.6401,light rain,46.24,71,75,16.11,SJ,2021-08-01 18:58:59
137,Corinto,37.9407,22.9573,clear sky,93.63,45,0,4.43,GR,2021-08-01 19:01:18
138,Iqaluit,63.7506,-68.5145,light rain,55.13,67,90,4.61,CA,2021-08-01 18:57:34
139,Gainesville,29.6516,-82.3248,scattered clouds,89.6,74,40,5.75,US,2021-08-01 19:03:13
140,Plettenberg Bay,-34.0527,23.3716,few clouds,56.75,87,19,10.71,ZA,2021-08-01 19:04:30
141,Christchurch,-43.5333,172.6333,broken clouds,51.91,87,75,7.0,NZ,2021-08-01 19:04:30
142,Blythe,33.6103,-114.5964,clear sky,107.04,18,1,4.61,US,2021-08-01 19:03:19
143,Galesong,-5.3166,119.3661,broken clouds,77.02,82,80,4.83,ID,2021-08-01 19:04:31
144,Reichenau,50.9075,14.9563,overcast clouds,61.88,91,100,3.27,PL,2021-08-01 19:04:31
145,Shache,38.4167,77.2406,overcast clouds,76.78,40,100,11.56,CN,2021-08-01 19:03:50
146,Nikolskoye,59.7035,30.7861,clear sky,64.4,69,6,9.13,RU,2021-08-01 18:58:08
147,Moose Factory,51.2585,-80.6094,scattered clouds,63.52,53,33,9.37,CA,2021-08-01 19:04:31
148,Pevek,69.7008,170.3133,overcast clouds,33.12,98,100,12.06,RU,2021-08-01 18:59:23
149,Solnechnyy,50.7214,136.6319,overcast clouds,51.39,97,93,3.96,RU,2021-08-01 18:56:26
150,The Valley,18.217,-63.0578,scattered clouds,87.66,70,40,13.8,AI,2021-08-01 19:04:32
151,Grand Forks,47.9417,-97.4337,haze,80.53,29,20,4.61,US,2021-08-01 19:04:32
152,Bam,29.106,58.357,clear sky,92.62,13,9,9.8,IR,2021-08-01 19:04:33
153,Uribia,11.7139,-72.266,clear sky,95.27,38,6,21.16,CO,2021-08-01 19:04:33
154,Mulchen,-37.7167,-72.2333,clear sky,64.26,40,6,7.72,CL,2021-08-01 19:04:33
155,Kahului,20.8947,-156.47,few clouds,78.96,81,24,15.86,US,2021-08-01 19:03:23
156,Praya,14.9215,-23.5087,scattered clouds,82.94,51,40,14.97,CV,2021-08-01 18:54:31
157,Bambous Virieux,-20.3428,57.7575,light rain,71.85,68,75,13.8,MU,2021-08-01 18:58:52
158,Kaitangata,-46.2817,169.8464,few clouds,42.64,96,22,4.5,NZ,2021-08-01 18:58:39
159,Acapulco,16.8634,-99.8901,scattered clouds,87.62,66,40,12.66,MX,2021-08-01 19:03:28
160,Arman,59.7,150.1667,clear sky,46.45,63,0,13.06,RU,2021-08-01 19:02:57
161,Mahebourg,-20.4081,57.7,light rain,70.25,75,45,17.58,MU,2021-08-01 19:02:56
162,Paka,4.6374,103.4368,overcast clouds,76.93,100,91,2.3,MY,2021-08-01 18:56:15
163,Valle Nacional,17.7833,-96.3167,broken clouds,88.83,60,67,3.91,MX,2021-08-01 19:04:35
164,Mount Gambier,-37.8333,140.7667,clear sky,41.41,92,0,9.51,AU,2021-08-01 19:02:43
165,Niquero,20.0431,-77.5828,light rain,86.38,70,25,2.35,CU,2021-08-01 19:04:35
166,Kruisfontein,-34.0033,24.7314,overcast clouds,56.88,80,99,22.19,ZA,2021-08-01 18:59:14
167,Yerbogachen,61.2767,108.0108,overcast clouds,60.6,56,100,5.26,RU,2021-08-01 19:04:36
168,Dourbali,11.8091,15.8632,overcast clouds,76.57,84,100,7.45,TD,2021-08-01 19:04:36
169,Luderitz,-26.6481,15.1594,clear sky,67.75,36,0,11.14,NA,2021-08-01 18:59:42
170,Neyyattinkara,8.4,77.0833,overcast clouds,80.46,82,100,11.3,IN,2021-08-01 19:04:36
171,Carnarvon,-24.8667,113.6333,clear sky,58.26,61,0,16.15,AU,2021-08-01 19:02:36
172,Hoquiam,46.9809,-123.8893,overcast clouds,68.43,45,90,16.11,US,2021-08-01 19:04:03
173,Boyolangu,-8.1181,111.8935,scattered clouds,73.47,91,50,6.35,ID,2021-08-01 18:55:01
174,Lianzhou,24.7811,112.3825,light rain,78.6,89,100,1.01,CN,2021-08-01 19:04:37
175,Seoul,37.5683,126.9778,overcast clouds,77.41,93,100,3.36,KR,2021-08-01 19:02:37
176,Ilulissat,69.2167,-51.1,clear sky,50.49,56,0,7.27,GL,2021-08-01 18:58:50
177,Thaba Nchu,-29.2093,26.839,clear sky,45.46,33,7,4.94,ZA,2021-08-01 19:04:38
178,Hasaki,35.7333,140.8333,few clouds,77.29,90,19,7.36,JP,2021-08-01 18:58:44
179,Guye,39.7333,118.4167,clear sky,69.17,90,1,5.46,CN,2021-08-01 19:04:38
180,Jurado,7.1053,-77.7641,light rain,82.13,84,100,7.31,CO,2021-08-01 19:04:38
181,Hobyo,5.3505,48.5268,clear sky,78.35,78,5,24.56,SO,2021-08-01 18:56:09
182,Heyang,26.1011,107.473,light rain,71.01,92,66,1.88,CN,2021-08-01 19:04:39
183,Nakhon Ratchasima,15.0,102.1667,overcast clouds,84.06,92,100,14.05,TH,2021-08-01 19:04:39
184,Panuco,22.05,-98.1667,clear sky,89.78,39,5,7.29,MX,2021-08-01 19:04:40
185,Atuona,-9.8,-139.0333,broken clouds,76.69,72,54,13.24,PF,2021-08-01 18:58:35
186,Mugla,37.2303,28.3557,clear sky,81.27,25,4,5.93,TR,2021-08-01 19:04:40
187,Yulara,-25.2406,130.9889,clear sky,51.75,36,0,9.17,AU,2021-08-01 19:02:45
188,Amapa,1.0,-52.0,few clouds,86.59,54,21,5.44,BR,2021-08-01 19:04:40
189,Syamzha,60.0158,41.0614,overcast clouds,59.31,97,100,6.62,RU,2021-08-01 19:04:41
190,Qaanaaq,77.484,-69.3632,broken clouds,43.12,80,81,1.19,GL,2021-08-01 18:58:23
191,Sao Joao Da Barra,-21.6403,-41.0511,overcast clouds,73.49,60,88,10.31,BR,2021-08-01 18:57:22
192,Coos Bay,43.3665,-124.2179,scattered clouds,69.24,88,40,14.97,US,2021-08-01 19:00:44
193,Westport,41.1415,-73.3579,broken clouds,78.35,57,75,1.01,US,2021-08-01 19:04:42
194,Goderich,43.7501,-81.7165,broken clouds,68.92,77,73,19.51,CA,2021-08-01 19:00:16
195,Salym,60.0625,71.4789,overcast clouds,60.22,99,100,4.54,RU,2021-08-01 19:04:43
196,Banepa,27.6298,85.5214,moderate rain,70.12,94,75,6.91,NP,2021-08-01 19:04:43
197,Kavieng,-2.5744,150.7967,clear sky,81.41,75,2,8.3,PG,2021-08-01 18:58:15
198,Provideniya,64.3833,-173.3,overcast clouds,41.79,90,100,14.0,RU,2021-08-01 19:02:49
199,La Rioja,42.25,-2.5,few clouds,64.18,58,11,3.67,ES,2021-08-01 19:04:44
