City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,Tiarei,-17.5333,-149.3333,77.02,65,89,15.88,PF,2021-08-01 04:44:37
232,Selenduma,50.9131,106.2406,75.47,48,60,4.43,RU,2021-08-01 04:44:38
233,Moose Factory,51.2585,-80.6094,48.2,100,1,2.3,CA,2021-08-01 04:44:38
234,Moussoro,13.6408,16.4901,77.83,80,100,6.51,TD,2021-08-01 04:44:38
235,Polunochnoye,60.8697,60.4153,68.88,67,68,9.95,RU,2021-08-01 04:44:38
236,Nanortalik,60.1432,-45.2371,50.11,76,100,17.02,GL,2021-08-01 04:44:39
237,Puerto Penasco,31.3167,-113.5333,85.91,76,65,10.47,MX,2021-08-01 04:44:39
238,Rocha,-34.4833,-54.3333,43.38,92,4,3.96,UY,2021-08-01 04:44:39
239,Salta,-24.7859,-65.4117,43.57,68,0,1.99,AR,2021-08-01 04:40:30
240,Mount Gambier,-37.8333,140.7667,51.71,87,75,9.22,AU,2021-08-01 04:44:40
241,Aripuana,-9.1667,-60.6333,67.84,52,9,2.21,BR,2021-08-01 04:44:40
242,Xicotencatl,23.0167,-98.8833,80.47,82,15,2.82,MX,2021-08-01 04:44:40
243,Morgan City,29.6994,-91.2068,77.04,100,1,0.0,US,2021-08-01 04:44:41
244,Pacific Grove,36.6177,-121.9166,63.81,88,1,1.99,US,2021-08-01 04:44:41
245,Tezu,27.9167,96.1667,83.64,85,86,2.13,IN,2021-08-01 04:44:41
246,Ostrovnoy,68.0531,39.5131,50.32,82,35,4.97,RU,2021-08-01 04:44:42
247,Shenjiamen,29.9576,122.298,81.5,86,85,0.36,CN,2021-08-01 04:44:42
248,Namibe,-15.1961,12.1522,68.41,66,0,7.61,AO,2021-08-01 04:44:42
249,Nome,64.5011,-165.4064,48.27,87,90,9.22,US,2021-08-01 04:44:43
250,Sol-Iletsk,51.1631,54.9918,88.3,35,37,7.34,RU,2021-08-01 04:44:43
251,Zharkent,44.1628,80.0,85.55,20,1,8.77,KZ,2021-08-01 04:44:43
252,Chapais,49.7834,-74.8492,46.18,81,90,3.76,CA,2021-08-01 04:44:44
253,Lerwick,60.1545,-1.1494,50.0,82,80,18.43,GB,2021-08-01 04:44:44
254,Santiago De Cao,-7.9589,-79.2392,64.09,86,60,11.12,PE,2021-08-01 04:44:44
255,Hambantota,6.1241,81.1185,89.94,66,20,18.41,LK,2021-08-01 04:44:45
256,Broken Hill,-31.95,141.4333,58.71,55,40,8.05,AU,2021-08-01 04:44:45
257,Kavaratti,10.5669,72.642,82.36,76,41,14.23,IN,2021-08-01 04:44:45
258,Adrar,20.5022,-10.0711,83.19,56,96,17.05,MR,2021-08-01 04:44:46
259,Ponta Do Sol,32.6667,-17.1,70.72,77,13,8.12,PT,2021-08-01 04:44:46
260,Magaria,12.9983,8.9099,78.12,75,55,12.24,NE,2021-08-01 04:44:47
261,Olafsvik,64.8945,-23.7142,53.24,96,100,5.7,IS,2021-08-01 04:44:47
262,Illapel,-31.6308,-71.1653,58.66,51,46,2.64,CL,2021-08-01 04:44:47
263,Pemangkat,1.1667,108.9667,87.26,65,23,12.55,ID,2021-08-01 04:44:48
264,Praxedis Guerrero,31.3667,-106.0167,86.56,33,4,5.75,MX,2021-08-01 04:44:48
265,Asmara,15.3333,38.9333,60.1,75,100,4.25,ER,2021-08-01 04:44:48
266,Palana,59.1167,159.9667,48.81,63,59,10.78,RU,2021-08-01 04:44:49
267,Chokurdakh,70.6333,147.9167,50.85,50,85,14.36,RU,2021-08-01 04:44:49
268,Bartica,6.4,-58.6167,77.32,99,99,1.34,GY,2021-08-01 04:44:49
269,Houma,29.5958,-90.7195,78.8,94,1,0.0,US,2021-08-01 04:39:58
270,Las Matas De Farfan,18.8731,-71.5166,73.96,87,82,4.45,DO,2021-08-01 04:44:50
271,Sao Joao Da Barra,-21.6403,-41.0511,66.15,59,89,11.07,BR,2021-08-01 04:44:50
272,Shieli,44.1667,66.75,91.42,14,0,23.69,KZ,2021-08-01 04:44:51
273,Pontes E Lacerda,-15.2261,-59.3353,63.84,41,11,2.55,BR,2021-08-01 04:44:51
274,Santa Cruz De La Palma,28.6835,-17.7642,71.74,78,40,18.41,ES,2021-08-01 04:44:51
275,Miami,25.7743,-80.1937,85.01,78,20,5.01,US,2021-08-01 04:42:07
276,Khandbari,27.3747,87.2039,83.17,74,78,5.26,NP,2021-08-01 04:44:52
277,Yamada,39.4667,141.95,77.47,88,95,4.18,JP,2021-08-01 04:44:52
278,Strezhevoy,60.7333,77.5889,64.38,56,8,2.48,RU,2021-08-01 04:44:52
279,Mamallapuram,12.6264,80.1722,89.65,46,99,15.66,IN,2021-08-01 04:44:53
280,Bambous Virieux,-20.3428,57.7575,74.21,68,75,17.27,MU,2021-08-01 04:44:53
281,Pangnirtung,66.1451,-65.7125,45.95,80,53,2.73,CA,2021-08-01 04:44:53
282,Kenitra,34.261,-6.5802,68.85,79,30,3.27,MA,2021-08-01 04:44:54
283,Guane,22.2025,-84.0875,78.94,82,0,0.83,CU,2021-08-01 04:44:54
284,Kenai,60.5544,-151.2583,66.02,69,1,5.75,US,2021-08-01 04:44:54
285,Cabo San Lucas,22.8909,-109.9124,85.6,78,86,1.5,MX,2021-08-01 04:42:40
286,Ankang,32.68,109.0172,95.97,50,0,2.37,CN,2021-08-01 04:44:55
287,Talcahuano,-36.7167,-73.1167,44.28,76,0,6.91,CL,2021-08-01 04:44:55
288,Kasongo-Lunda,-6.4667,16.8167,65.88,46,38,0.56,CD,2021-08-01 04:44:55
289,Manyana,-23.4,21.7167,43.41,56,0,7.02,BW,2021-08-01 04:44:56
290,Manga,11.6636,-1.0731,70.79,94,70,8.08,BF,2021-08-01 04:44:56
291,Pasni,25.2631,63.471,82.36,83,93,12.44,PK,2021-08-01 04:44:56
292,Rincon,32.296,-81.2354,85.86,82,40,12.66,US,2021-08-01 04:44:57
